Epoch,Train Loss,Test AUC-ROC,Test AUC-PR,Test Log Prob
0,-2.0274253034591676,0.518963953588806,0.46505090428578905,-1176.2378631296965
1,-2.140851649045944,0.4974671062102323,0.4619830029987384,-1175.674491563802
2,-2.154116257429123,0.5754728932139463,0.5345296788099642,-1147.0648752175925
3,-2.1801628291606905,0.5082083321337058,0.4751371943949569,-1172.5930824891207
4,-2.186572858095169,0.5297857944893904,0.4893181840360389,-1166.3849710019927
5,-2.165822620391846,0.5476268966112918,0.5292788095341643,-1153.055519614925
6,-2.164999874830246,0.5349343563757809,0.5077911506365753,-1163.261958183532
7,-2.171705869436264,0.4864178159099416,0.45554176749407765,-1171.6886416048853
8,-2.1765669345855714,0.5306049002389658,0.5177549118507873,-1156.8623128259055
9,-2.17900465965271,0.4937415426251691,0.47191571151577694,-1168.8761604031006
10,-2.2001835715770723,0.4751878616877321,0.4638448600746008,-1167.36957883969
11,-2.1819363510608674,0.48448521578901904,0.47368701695637044,-1166.925404365707
12,-2.1659908735752107,0.5288443267209858,0.5048156279788383,-1162.524629698759
13,-2.1778815317153932,0.5459339820919586,0.5224508967471221,-1158.1860132479064
14,-2.1882274603843688,0.5316910431002217,0.5235315255473072,-1160.6778859350038
15,-2.1845645117759704,0.5573302047044597,0.5163237155328753,-1158.9223773145147
16,-2.1849230945110323,0.5572128811216999,0.5141154444378891,-1155.446134150311
17,-2.1827726542949675,0.5156292286874153,0.4949113524148493,-1163.5349506275234
18,-2.176884628534317,0.5204344571445023,0.49946716203647473,-1163.740014012608
19,-2.174203987121582,0.5146755247171277,0.4747289548418546,-1161.9213041642531
20,-2.1786605763435363,0.6186026257449688,0.5392883834783022,-1154.681132629981
21,-2.167125276327133,0.5360996746609852,0.4815498296285087,-1156.383290452331
22,-2.1847716534137724,0.5699889154406472,0.5107268611420297,-1158.6812658927886
23,-2.2019025611877443,0.5087179339533008,0.4658040680801884,-1162.2612033884645
24,-2.1659935915470125,0.5242053666541906,0.475545418290367,-1160.5261140698626
25,-2.1703879940509796,0.5236216278467163,0.4864449751139376,-1156.044426384311
26,-2.158002381324768,0.5204632482077562,0.47923734193543205,-1157.137010348199
27,-2.182239691019058,0.4469121584660122,0.43558416710865555,-1165.1355097418493
28,-2.17385113120079,0.4976794403017303,0.46233539456038864,-1160.311633496759
29,-2.1590446674823762,0.6107585005614258,0.5444138452706445,-1153.156541419221
