Epoch,Train Loss,Test AUC-ROC,Test AUC-PR,Test Log Prob
0,-1.9260867869853973,0.560134454265396,0.560665547778968,-1151.7909705560292
1,-2.1136814987659456,0.4491895315694009,0.41816265617301374,-1181.1143437298247
2,-2.1377469372749327,0.5010278409581665,0.4637310890599476,-1161.8668430794628
3,-2.171130108833313,0.509235453315291,0.4868887403955573,-1163.4936416767084
4,-2.1791855788230894,0.5086150059021679,0.46628494403954285,-1164.792107953058
5,-2.157144066095352,0.5573316442576224,0.48117324341560086,-1156.9246628602716
6,-2.1601343250274656,0.4783699939538767,0.4395694232233086,-1163.9090681651103
7,-2.167130846977234,0.45226945556099385,0.41584325831513214,-1167.0802110154996
8,-2.172965979576111,0.4654802349350761,0.4300713652466918,-1162.309690951149
9,-2.1753476595878602,0.4880322747819078,0.4489234749977985,-1163.7996238151268
10,-2.1947659993171693,0.43825540552212594,0.414386931188036,-1167.2084324238344
11,-2.1774945890903474,0.45534002245702937,0.4299315981149261,-1165.481142589158
12,-2.1617578959465025,0.474849566694498,0.4577939188193389,-1161.224713969617
13,-2.1717051351070404,0.48544611752512024,0.4721895114019334,-1160.8585129852859
14,-2.184849706888199,0.4838518123974318,0.4808580067018207,-1161.6559635158492
15,-2.1805594968795776,0.516850689545965,0.4680601027404994,-1162.550978651674
16,-2.181349239349365,0.6007348918895575,0.5338886527192367,-1153.7154452554823
17,-2.179450876712799,0.44910171882647626,0.4404540646192244,-1166.5487981334709
18,-2.1731036853790284,0.4551989462470849,0.45027973752543526,-1166.8455672508312
19,-2.1711823868751527,0.4785017130682636,0.4477159852357051,-1164.9445222026056
20,-2.1755813336372376,0.6238908242881409,0.5372519537433522,-1157.2581759885923
21,-2.164736462831497,0.5388009961707885,0.4875207303221204,-1158.2896249876683
22,-2.182581411600113,0.537515475196499,0.5019955629611689,-1160.1074411355173
23,-2.1998065316677096,0.47439610744824806,0.4461735303390977,-1164.793911994811
24,-2.1634378039836886,0.48664166642674117,0.4449410439421843,-1163.9187535875164
25,-2.167768279314041,0.5018462269311605,0.4591593614552081,-1159.8216109036948
26,-2.1547538304328917,0.49896856015892666,0.4570459508737452,-1160.2217749681372
27,-2.1800643479824067,0.4513574986324245,0.43697876198397523,-1164.2449786635702
28,-2.1726884555816652,0.5275184982581407,0.466924556500087,-1159.4179383919707
29,-2.156706826686859,0.5625716177698443,0.5144757186598399,-1155.8738596221306
