Epoch,Train Loss,Test AUC-ROC,Test AUC-PR,Test Log Prob
0,-1.9865025210380554,0.5229565542855499,0.4632561041043805,-1176.753586634834
1,-2.141766059398651,0.47404773558287505,0.4419065581506791,-1183.957474973391
2,-2.158632023334503,0.5554969337517635,0.5367393360908685,-1149.5796979349284
3,-2.1863028979301453,0.48799700572942156,0.4458905814848392,-1168.188509315759
4,-2.190335626602173,0.5146618489620821,0.493284573431105,-1161.578020099858
5,-2.1679141092300416,0.5389096824345723,0.49957301932516285,-1155.760245429056
6,-2.167140542268753,0.5292279676388449,0.48876258820820406,-1159.3785479218875
7,-2.1738628017902375,0.49550499524947456,0.4360145625883271,-1165.3363749209084
8,-2.1775285637378694,0.5094844960124377,0.4424098682556181,-1161.7544619227153
9,-2.179895768165588,0.43927892782080447,0.4127548047009889,-1167.4977975926781
10,-2.2007443511486056,0.4298728874557337,0.41543913127450305,-1167.464160251648
11,-2.1824465870857237,0.4485158206892581,0.44141939573288125,-1163.0169960659089
12,-2.1669327282905577,0.4622030921601935,0.46216350997774264,-1160.6550215450188
13,-2.1774573409557343,0.4870756917052947,0.4580946366165504,-1160.349218180711
14,-2.1871341013908387,0.47149324849566693,0.46231593444771957,-1162.6407660750945
15,-2.1844666612148287,0.4761012581694642,0.45480900769098026,-1161.6700850451452
16,-2.184713031053543,0.5322438315146978,0.48114885147128367,-1157.1418897532865
17,-2.183108726739883,0.44256398813808195,0.43040051169703114,-1164.8896257533004
18,-2.176052451133728,0.4212334091497999,0.4177334261357456,-1166.1591104564613
19,-2.1733571588993073,0.43981012293784005,0.4244897397360746,-1163.4461679152728
20,-2.1776651322841643,0.5719006420407106,0.4909636170799121,-1159.8213848289845
21,-2.165862373113632,0.5404125759364293,0.4639052363396109,-1158.725052190253
22,-2.18424796462059,0.48857786543057036,0.4604440770593657,-1160.1987168062305
23,-2.2015949094295504,0.4481098666973771,0.4179063836016065,-1165.7300816512534
24,-2.1655984246730804,0.451970748279734,0.4220299297011961,-1164.5050463667899
25,-2.1698477411270143,0.4765619151815277,0.4447600588774212,-1158.7595871321287
26,-2.1565326642990112,0.4415224714248698,0.4108378382676123,-1163.4133743954717
27,-2.1808602571487428,0.4292495609362854,0.42404232262638075,-1168.16866112461
28,-2.173376739025116,0.49011818731465756,0.4522036208881528,-1161.346596443988
29,-2.158044686317444,0.5241557020700774,0.4865400585366878,-1158.2756015959967
