Epoch,Train Loss,Test AUC-ROC,Test AUC-PR,Test Log Prob
0,-1.973461047410965,0.5332853482279101,0.4784358030806726,-1166.7289601943266
1,-2.1390971612930296,0.5271730054990931,0.453480460847633,-1167.7948151751425
2,-2.1579315161705015,0.5288414476146603,0.45721310895896045,-1162.4022104529931
3,-2.187086788415909,0.5490254225088532,0.4844300017097204,-1156.7446919633278
4,-2.1931089746952055,0.5273241585811764,0.4975414847305296,-1159.8517817648758
5,-2.170061047077179,0.6072308755362336,0.5486159017856331,-1146.8379550836526
6,-2.1686218118667604,0.5183974894192842,0.46116060261749536,-1161.545086171048
7,-2.174279533624649,0.5032425934989779,0.4473659513731066,-1163.343223326191
8,-2.179596724510193,0.5066514553882475,0.4512499924919149,-1162.7299488950848
9,-2.181394110918045,0.4611831687444218,0.43598592752349763,-1166.426472414503
10,-2.2017239356040954,0.449074367316385,0.4323187595969306,-1166.0297388107301
11,-2.183782373666763,0.4468020326490657,0.42656361494653505,-1168.0802684155142
12,-2.166749749183655,0.4602294647741342,0.4501735991343592,-1163.2241109942229
13,-2.178778680562973,0.518234100135318,0.48795234867274445,-1159.965713442616
14,-2.1886711001396177,0.4803479399994242,0.47061506144590937,-1163.0971476917343
15,-2.1852667367458345,0.4960131575159071,0.46052828574983784,-1161.1403328149115
16,-2.185369018316269,0.5653881035326634,0.5092412445200543,-1155.6835231647015
17,-2.183600500822067,0.46283865488152476,0.443508016990794,-1164.702636361491
18,-2.1773987329006195,0.4419421011717963,0.4418339784504034,-1167.5502250295003
19,-2.1742889320850374,0.43665030374571734,0.42263140016024725,-1165.976123615987
20,-2.179067405462265,0.6144523939769095,0.5382809569252027,-1157.2234593997482
21,-2.1670960760116578,0.49636296893444276,0.46103682516317634,-1157.2624220132263
22,-2.1851704216003416,0.4981393775372125,0.47521131428314,-1160.4690375040664
23,-2.201998895406723,0.46413497250453456,0.44053347582173685,-1164.541824076051
24,-2.1662208211421965,0.49156133936026253,0.45772262438724,-1157.4646798124395
25,-2.1702287924289703,0.4651167477614948,0.4513948524565007,-1160.4265238473572
26,-2.1577043426036835,0.4236439409207382,0.42670678257162886,-1164.9084463931467
27,-2.182252507209778,0.4230558834537759,0.430463550709151,-1167.1935999627572
28,-2.173723326921463,0.43907379149511994,0.4322797223599271,-1164.8353810555154
29,-2.158752061128616,0.5135123657616676,0.4984181015291227,-1156.8312554588338
