Epoch,Train Loss,Test AUC-ROC,Test AUC-PR,Test Log Prob
0,-1.697706332206726,0.7202380952380953,0.8166949660236105,-28.861676646871302
1,-1.9671925044059753,0.873015873015873,0.8937054024380005,-27.790183254148893
2,-1.952869645357132,0.8829365079365079,0.9255588534314712,-27.16849561192716
3,-1.9682588255405427,0.9047619047619048,0.9394658234897388,-27.24998625945714
4,-1.9656731164455414,0.9186507936507937,0.9485853601807548,-26.696067130492114
5,-1.9691432285308839,0.9166666666666666,0.9546732759541952,-27.375038090987577
6,-1.9522471940517425,0.9126984126984127,0.9450314085424378,-27.07983804612818
7,-1.9893745815753936,0.884920634920635,0.929351492965834,-27.286924624208847
8,-1.9546908247470856,0.9305555555555555,0.9528859407304568,-27.136043405348907
9,-1.965116139650345,0.9662698412698413,0.973875237416904,-27.022347967660014
10,-1.9807789421081543,0.9265873015873016,0.9505125593360886,-26.79536084290075
11,-1.970910484790802,0.8928571428571429,0.9296349479718706,-27.391049247797678
12,-1.962997772693634,0.888888888888889,0.9271493235239412,-27.48411530250715
13,-1.9562925755977632,0.9107142857142857,0.9487876341494761,-27.471803497244807
14,-1.9777320289611817,0.9523809523809523,0.9634449444317863,-26.9463685998386
15,-1.964355161190033,0.9325396825396824,0.9630693581780536,-27.260150034350133
16,-1.9728763318061828,0.9107142857142858,0.9393839846109115,-27.789097970105487
17,-1.9848366355895997,0.9226190476190476,0.9532227092095511,-27.84099753630237
18,-1.963858313560486,0.9384920634920634,0.9666227492314448,-27.599785240279488
19,-1.977652040719986,0.8988095238095238,0.9331919753455078,-27.948329677128157
20,-1.9926159512996673,0.8928571428571429,0.9256707412957412,-27.713182849100185
21,-1.9887016940116882,0.875,0.9247373629995579,-27.66926815288622
22,-1.9690687549114227,0.8849206349206349,0.9315319076348487,-27.345494509991273
23,-1.9908513581752778,0.8591269841269842,0.9189778375894064,-27.5696735526749
24,-1.9835073554515839,0.8492063492063493,0.9185128726287262,-27.859004008784073
25,-1.966399794816971,0.8908730158730158,0.9394214835411749,-26.809766601458428
26,-1.9727081954479218,0.878968253968254,0.9246470681431014,-27.093305904716168
27,-1.9888115262985229,0.8749999999999999,0.9286534645909645,-27.068071712603388
28,-1.981991056203842,0.9761904761904762,0.9811693137780093,-27.37745121799442
29,-1.957706264257431,0.9523809523809523,0.9651775052723475,-27.087361607528514
30,-1.980908409357071,0.9166666666666666,0.9432491987179485,-27.167446539978204
31,-1.980198620557785,0.9384920634920635,0.9593316624895571,-27.42278372847517
32,-1.9812238323688507,0.9503968253968254,0.9667600717600715,-27.1666997547874
33,-1.991453983783722,0.8948412698412698,0.9383364366384237,-27.41098382431509
34,-1.9586197519302369,0.9007936507936508,0.9365530694663757,-26.88597508136004
35,-1.9601111245155334,0.8849206349206349,0.9295186390645627,-26.769018520210587
36,-1.9864678966999054,0.9305555555555556,0.9570692895933379,-26.96999871809674
37,-1.9841760563850404,0.9126984126984128,0.9465761728692761,-27.20450360245589
38,-1.989706542491913,0.9126984126984127,0.943693905970991,-27.20228740602646
39,-1.973636486530304,0.8988095238095237,0.9381168046928916,-27.60926202939651
40,-1.9643926048278808,0.8829365079365079,0.932739132731689,-27.211447122723033
41,-1.9799523448944092,0.8968253968253967,0.9393256557128506,-26.926514491383436
42,-1.9658773291110991,0.9126984126984127,0.9469786349904883,-27.131883845960942
43,-1.9966865682601929,0.876984126984127,0.9269439429175736,-27.640950067657844
44,-1.9640896070003508,0.8928571428571428,0.9342481413063308,-26.80987849214171
45,-1.9632067680358887,0.9186507936507937,0.9483878968253967,-27.087228724454306
46,-1.9804170787334443,0.9384920634920635,0.9571557088744589,-27.32937157890569
47,-1.9654087591171265,0.8948412698412698,0.9362840862840862,-27.161360963726118
48,-1.9658122599124908,0.9087301587301587,0.9455603313928589,-27.26073703454084
49,-1.9723065042495727,0.9126984126984126,0.9492731941261352,-27.115660456099764
50,-1.9701292312145233,0.8869047619047619,0.9320888942503844,-27.55821382526516
51,-1.995754600763321,0.9107142857142856,0.9480407208012154,-27.682844860159626
52,-1.972050803899765,0.9305555555555556,0.9551121067032464,-27.037964744364253
53,-1.9725545072555541,0.9047619047619048,0.9419924135163289,-27.61752743074538
54,-1.9869545328617095,0.878968253968254,0.9330213903743314,-27.629706844003024
55,-1.971305878162384,0.876984126984127,0.9285279539979743,-27.35212315821737
56,-1.9617611610889434,0.8571428571428571,0.9187408312691343,-27.849825154780646
57,-1.9762463200092315,0.8492063492063493,0.9176699599396967,-27.64638564812942
58,-1.9893091213703156,0.9186507936507937,0.9503998483777896,-27.459810016538192
59,-1.9781011855602264,0.9067460317460319,0.9500330687830687,-27.156535003461038
60,-1.965386573076248,0.8611111111111112,0.9226833665060408,-27.32158148401617
61,-1.9652164924144744,0.9345238095238095,0.9585414585414584,-26.928177891094304
62,-1.9776650762557983,0.9365079365079365,0.9565185066519912,-26.882771645049655
63,-1.971860989332199,0.9126984126984127,0.9443138279345176,-26.362355890350784
64,-1.9787645256519317,0.9285714285714286,0.9512654492081689,-26.87505182038357
65,-1.9673116672039033,0.888888888888889,0.931866965487655,-27.327509669908185
66,-1.9756391847133636,0.9206349206349206,0.9483383545883544,-27.58779795566602
67,-1.9650542533397675,0.9404761904761905,0.9605416374166373,-26.02631428255818
68,-1.963009568452835,0.9583333333333333,0.9681855553866423,-26.093552927234775
69,-1.969448320865631,0.9464285714285714,0.9634456778206777,-27.7816520062744
70,-1.9732047748565673,0.9702380952380953,0.978008301933033,-27.13276739714861
71,-1.9747267401218414,0.9523809523809523,0.9683102986564995,-26.667835617805693
72,-1.9650450539588928,0.9345238095238095,0.9575948864820816,-26.935584984033216
73,-1.9635916578769683,0.9365079365079366,0.960327347492413,-27.11095810599236
74,-1.9685832273960113,0.9007936507936508,0.9438789682539681,-26.9646863840425
75,-1.9854228758811951,0.9384920634920635,0.9591090492030852,-26.901348462899968
76,-1.9740570127964019,0.9404761904761905,0.9570559708490742,-26.93779379494943
77,-1.9563151323795318,0.9186507936507937,0.9511069564266066,-26.81111878589441
78,-1.989700701236725,0.9226190476190477,0.9519201940035271,-26.83597964649837
79,-1.9640212011337281,0.9246031746031745,0.9491449215026517,-26.84713027128752
80,-1.9948216140270234,0.9603174603174602,0.9729474894148806,-27.450574190682527
81,-1.969569982290268,0.9603174603174602,0.9707815734989647,-26.648143574825774
82,-1.9852398228645325,0.9642857142857144,0.9728625988706632,-27.15458359133047
83,-1.9922869944572448,0.9543650793650793,0.9647094417927751,-27.23731621377175
84,-1.971198114156723,0.9246031746031746,0.952182817182817,-26.639464575841036
85,-1.9557695710659027,0.9305555555555556,0.955330713579462,-26.915659007386257
86,-1.9329427099227905,0.9007936507936508,0.937967908675521,-27.15278951003011
87,-1.9909928107261659,0.9642857142857143,0.9708214071891608,-26.61731638575809
